uniprot,uniprotname,entrezid
Q96PF2,TSSK2,23617
O00238,BMPR1B,658
Q9NQU5,PAK6,56924
Q7KZI7,MARK2,2011
Q86UX6,STK32C,282974
Q8WU08,STK32A,202374
O75460,ERN1,2081
P27448,MARK3,4140
Q9P0L2,MARK1,4139
O14730,RIOK3,8780
Q9P286,PAK5,57144
Q7RTN6,STRADA,92335
Q9UKI8,TLK1,9874
O95747,OXSR1,9943
P37023,ACVRL1,94
Q9BXU1,STK31,56164
O14936,CASK,8573
Q8WXR4,MYO3B,140469
Q15569,TESK1,7016
Q6VAB6,KSR2,283455
Q86UE8,TLK2,11011
P46020,PHKA1,5255
O14874,BCKDK,10295
Q96D53,COQ8B,79934
Q86Y07,VRK2,7444
Q9Y2U5,MAP3K2,10746
Q96S44,TP53RK,112858
O00444,PLK4,10733
Q96J92,WNK4,65266
Q9BYP7,WNK3,65267
Q9Y3S1,WNK2,65268
P51841,GUCY2F,2986
O15197,EPHB6,2051
Q16671,AMHR2,269
Q15118,PDK1,5163
P42336,PIK3CA,5290
Q92519,TRIB2,28951
Q96Q15,SMG1,23049
P67870,CSNK2B,1460
Q13873,BMPR2,659
Q8IVT5,KSR1,8844
P57059,SIK1,150094
Q9H0K1,SIK2,23235
Q99570,PIK3R4,30849
P31323,PRKAR2B,5577
Q05823,RNASEL,6041
P30279,CCND2,894
Q9NYL2,MAP3K20,51776
Q9Y6K9,IKBKG,8517
